frame,wall_clock_s,bt709_s,ours_s,rival_s
199,66.3932,nan,0.07270,0.17184
200,66.6667,nan,0.06021,0.17702
201,67.0011,nan,0.06057,0.23080
202,67.2716,nan,0.06361,0.18727
203,67.5575,nan,0.05698,0.20835
204,67.8281,nan,0.07439,0.17781
205,68.1053,nan,0.06386,0.16707
206,68.3863,nan,0.07620,0.16895
207,68.6607,nan,0.06339,0.18983
208,68.9227,nan,0.06681,0.17763
209,69.2742,nan,0.07363,0.25470
210,69.6822,nan,0.07333,0.31342
211,69.9563,nan,0.07080,0.16947
212,70.2269,nan,0.07499,0.17451
213,70.5714,nan,0.07208,0.21188
214,70.9013,nan,0.10231,0.21242
215,71.2150,nan,0.07081,0.22282
216,71.5370,nan,0.07501,0.20289
217,71.8354,nan,0.07142,0.20668
218,72.1119,nan,0.05848,0.20113
219,72.3861,nan,0.06018,0.19323
220,72.6781,nan,0.05874,0.20881
221,72.9877,nan,0.07541,0.19642
222,73.2854,nan,0.06100,0.21989
223,73.5934,nan,0.06743,0.22443
224,73.8836,nan,0.06925,0.19784
225,74.2006,nan,0.06033,0.20943
226,74.5219,nan,0.06482,0.22164
227,74.8081,nan,0.07464,0.19495
228,75.0817,nan,0.06391,0.19083
229,75.4473,nan,0.06237,0.28729
230,75.8362,nan,0.08106,0.28929
231,76.1781,nan,0.07919,0.22463
232,76.5188,nan,0.08439,0.23823
233,76.7762,nan,0.06476,0.17604
234,77.1257,nan,0.07095,0.25849
235,77.4838,nan,0.06100,0.27988
236,77.7997,nan,0.06203,0.21546
237,78.1009,nan,0.06311,0.21878
238,78.4354,nan,0.07265,0.23812
239,78.7474,nan,0.05810,0.23724
240,79.0986,nan,0.07613,0.25559
241,79.3685,nan,0.06645,0.16996
242,79.6206,nan,0.06553,0.16583
243,79.9664,nan,0.06497,0.26088
244,80.3065,nan,0.06741,0.24589
245,80.7920,nan,0.06578,0.40119
246,81.1129,nan,0.05788,0.22465
247,81.3717,nan,0.06309,0.17422
248,81.6446,nan,0.07380,0.18341
249,81.9557,nan,0.07642,0.21435
250,82.2777,nan,0.07833,0.22571
251,82.5864,nan,0.06057,0.21655
252,82.8338,nan,0.05598,0.17029
253,83.0902,nan,0.05937,0.18178
254,83.4541,nan,0.05672,0.29143
255,83.7615,nan,0.07377,0.21108
256,84.0480,nan,0.08005,0.17270
257,84.3754,nan,0.06327,0.24559
258,84.7377,nan,0.07673,0.26328
259,85.0679,nan,0.06730,0.24521
260,85.4320,nan,0.07577,0.26522
261,85.8022,nan,0.05480,0.27718
262,86.0776,nan,0.08692,0.17437
263,86.3470,nan,0.07912,0.17547
264,86.6784,nan,0.06434,0.24628
265,86.9309,nan,0.05735,0.17873
266,87.2548,nan,0.07423,0.18049
267,87.5967,nan,0.06455,0.25883
268,87.9906,nan,0.09088,0.27825
269,88.2429,nan,0.06566,0.16861
270,88.5548,nan,0.08673,0.19957
271,88.8584,nan,0.08136,0.18752
272,89.1308,nan,0.07219,0.18003
273,89.5174,nan,0.06480,0.29576
274,89.8644,nan,0.07140,0.25552
275,90.2492,nan,0.08885,0.24435
276,90.6144,nan,0.07639,0.25054
277,91.0061,nan,0.08252,0.29142
278,91.3560,nan,0.06160,0.26663
279,91.7184,nan,0.06495,0.27669
280,92.0507,nan,0.05640,0.25551
281,92.3506,nan,0.08310,0.17898
282,92.7123,nan,0.06362,0.27768
283,93.0790,nan,0.07016,0.27266
284,93.4074,nan,0.07147,0.23290
285,93.6710,nan,0.07305,0.16491
286,93.9627,nan,0.05994,0.16396
287,94.2303,nan,0.08336,0.16794
288,94.5440,nan,0.05828,0.23818
289,94.8630,nan,0.05362,0.24465
290,95.2379,nan,0.09892,0.25597
291,95.5086,nan,0.07317,0.16452
292,95.7668,nan,0.07215,0.17056
293,96.1082,nan,0.09507,0.22866
294,96.4624,nan,0.07862,0.26115
295,96.8035,nan,0.06395,0.26306
296,97.2002,nan,0.09702,0.26155
297,97.5433,nan,0.06368,0.25998
298,98.0023,nan,0.06680,0.37608
299,98.4003,nan,0.06605,0.31434
300,98.7701,nan,0.07812,0.26776
301,99.1649,nan,0.07275,0.28515
302,99.5744,nan,0.06735,0.32310
303,99.8970,nan,0.06111,0.24398
304,100.1864,nan,0.08110,0.19320
305,100.4852,0.00126,0.06373,0.22417
306,100.8144,0.00201,0.06369,0.16881
307,101.1349,0.00240,0.06436,0.22979
308,101.4042,0.00131,0.05731,0.18797
309,101.6946,0.00127,0.05163,0.21498
310,101.9757,0.00145,0.05851,0.19669
311,102.2996,0.00170,0.05573,0.18936
312,102.5319,0.00129,0.05388,0.15447
313,102.7741,0.00150,0.05679,0.15856
314,103.0293,0.00140,0.05652,0.17355
315,103.3045,0.00155,0.05690,0.19343
316,103.6467,0.00159,0.05052,0.20930
317,103.9096,0.00119,0.08076,0.15832
318,104.2268,0.00147,0.07931,0.21301
319,104.5463,0.00124,0.06577,0.22860
320,104.8397,0.00151,0.05845,0.21006
321,105.2131,0.00134,0.04956,0.24361
322,105.4882,0.00154,0.05000,0.20066
323,105.7545,0.00168,0.06036,0.18130
324,106.0332,0.00136,0.08388,0.17132
325,106.3074,0.00180,0.06958,0.18933
326,106.6050,0.00117,0.05329,0.16617
327,107.0302,0.00120,0.06485,0.34464
328,107.4586,0.00233,0.06382,0.34132
329,107.9035,0.00089,0.06960,0.35843
330,108.1644,0.00098,0.06130,0.18375
331,108.5676,0.00128,0.05519,0.27071
332,108.8283,0.00100,0.06329,0.18129
333,109.1670,0.00096,0.08217,0.24128
334,109.5628,0.00153,0.08264,0.29482
335,109.8274,0.00089,0.05018,0.19680
336,110.1472,0.00171,0.05620,0.17937
337,110.4940,0.00157,0.06460,0.25953
338,110.8003,0.00167,0.05269,0.22664
339,111.1132,0.00129,0.07111,0.21678
340,111.4062,0.00133,0.05480,0.21314
341,111.7717,0.00187,0.07308,0.20824
342,112.0872,0.00153,0.06312,0.22560
343,112.3939,0.00147,0.06901,0.20704
344,112.7131,0.00123,0.06248,0.23230
345,113.0151,0.00126,0.05375,0.22197
346,113.4081,0.00142,0.07332,0.22633
347,113.7181,0.00116,0.06483,0.22241
348,114.0192,0.00082,0.05024,0.22782
349,114.3156,0.00156,0.05541,0.21643
350,114.6209,0.00409,0.05723,0.21729
351,114.9718,0.00107,0.05240,0.21511
352,115.2876,0.00156,0.06164,0.22920
353,115.6079,0.00149,0.06829,0.22754
354,115.9261,0.00163,0.05407,0.23545
355,116.2589,0.00145,0.08028,0.22891
356,116.6288,0.00129,0.04899,0.24359
357,116.9570,0.00114,0.05146,0.25507
358,117.2802,0.00134,0.04811,0.25069
359,117.6248,0.00161,0.06181,0.25899
360,117.9263,0.00136,0.05169,0.22662
361,118.2825,0.00140,0.05026,0.22392
362,118.6121,0.00206,0.07384,0.22815
363,118.9179,0.00133,0.06934,0.21146
364,119.2400,0.00135,0.05956,0.23601
365,119.5540,0.00129,0.05126,0.23743
366,119.9196,0.00136,0.06247,0.21885
367,120.2384,0.00160,0.06961,0.22547
368,120.5741,0.00140,0.08419,0.22261
369,120.8747,0.00120,0.05942,0.22492
370,121.1862,0.00120,0.05684,0.23322
371,121.5513,0.00160,0.06854,0.22245
372,121.8399,0.00104,0.05605,0.21647
373,122.1654,0.00097,0.08242,0.22946
374,122.4588,0.00166,0.05832,0.21751
375,122.7256,0.00123,0.04715,0.20376
376,123.0789,0.00086,0.04773,0.22920
377,123.3846,0.00132,0.07901,0.21017
378,123.6957,0.00099,0.05544,0.23939
379,124.0023,0.00243,0.05061,0.22647
380,124.3274,0.00147,0.05123,0.24630
381,124.7004,0.00163,0.05573,0.23521
382,124.9981,0.00133,0.05249,0.22097
383,125.3023,0.00168,0.05199,0.22637
384,125.5653,0.00180,0.05898,0.17814
385,125.8339,0.00146,0.06119,0.18125
386,126.1534,0.00196,0.04971,0.17980
387,126.4022,0.00212,0.05166,0.17443
388,126.6678,0.00143,0.07265,0.16801
389,126.9225,0.00159,0.06789,0.16057
390,127.1784,0.00145,0.05738,0.17349
391,127.6072,0.00216,0.06950,0.28114
392,128.0404,0.00127,0.05984,0.34693
393,128.4052,0.00125,0.05546,0.28499
394,128.7032,nan,0.06605,0.21309
395,129.0637,nan,0.06478,0.23770
396,129.4479,nan,0.06151,0.28312
397,129.7004,nan,0.07214,0.15962
398,129.9487,nan,0.05784,0.17210
399,130.2482,nan,0.05470,0.22546
400,130.6340,nan,0.06427,0.30160
401,130.9528,nan,0.07389,0.20714
402,131.2704,nan,0.06379,0.23486
403,131.7396,nan,0.09488,0.35396
404,132.0888,nan,0.08043,0.25163
405,132.4411,nan,0.06162,0.27327
406,132.7440,nan,0.06685,0.20038
407,133.0781,nan,0.06287,0.25487
408,133.3834,nan,0.05609,0.23209
409,133.7189,nan,0.07055,0.23257
410,134.0177,nan,0.05727,0.22338
411,134.3339,nan,0.05873,0.21729
412,134.6497,nan,0.05767,0.24046
413,134.9657,nan,0.06262,0.23931
414,135.3078,nan,0.08349,0.23929
415,135.6126,nan,0.06251,0.22642
416,135.9403,nan,0.06162,0.22811
417,136.3032,nan,0.07758,0.26995
418,136.6486,nan,0.07524,0.25194
419,136.9779,nan,0.07133,0.24086
420,137.3166,nan,0.07827,0.24155
421,137.6446,nan,0.06365,0.23070
422,137.9335,nan,0.05678,0.21773
423,138.2502,nan,0.05762,0.24065
424,138.5479,nan,0.05563,0.21903
425,138.8468,nan,0.06522,0.21409
